Raw Input by Index
i,Time,Signal
0,0,13.5,0
1,0.0001,13.4966,0
2,0.0002,12.1399,0
3,0.0003,9.42699,0
4,0.0004,5.66566,0
5,0.0005,1.40358,0
6,0.0006,-2.7459,0
7,0.0007,-6.29683,0
8,0.0008,-9.00956,0
9,0.0009,-10.8832,0
10,0.001,-12.0369,0
11,0.0011,-12.5543,0
12,0.0012,-12.3827,0
13,0.0013,-11.3458,0
14,0.0014,-9.26483,0
15,0.0015,-6.11911,0
16,0.0016,-2.15404,0
17,0.0017,2.13054,0
18,0.0018,6.11544,0
19,0.0019,9.25892,0
20,0.002,11.2599,0
21,0.0021,12.1098,0
22,0.0022,12.0137,0
23,0.0023,11.2304,0
24,0.0024,9.92126,0
25,0.0025,8.09017,0
26,0.0026,5.64467,0
27,0.0027,2.53896,0
28,0.0028,-1.08659,0
29,0.0029,-4.8548,0
30,0.003,-8.22802,0
31,0.0031,-10.6804,0
32,0.0032,-11.8823,0
33,0.0033,-11.8048,0
34,0.0034,-10.693,0
35,0.0035,-8.92499,0
36,0.0036,-6.83381,0
37,0.0037,-4.58479,0
38,0.0038,-2.16998,0
39,0.0039,0.484765,0
40,0.004,3.36706,0
41,0.0041,6.27149,0
42,0.0042,8.80624,0
43,0.0043,10.5173,0
44,0.0044,11.0697,0
45,0.0045,10.3914,0
46,0.0046,8.70469,0
47,0.0047,6.4274,0
48,0.0048,3.99444,0
49,0.0049,1.69242,0
50,0.005,-0.40983,0
51,0.0051,-2.40416,0
52,0.0052,-4.39813,0
53,0.0053,-6.36811,0
54,0.0054,-8.09665,0
55,0.0055,-9.2333,0
56,0.0056,-9.44954,0
57,0.0057,-8.60558,0
58,0.0058,-6.83838,0
59,0.0059,-4.52123,0
60,0.006,-2.11339,0
61,0.0061,0.0234951,0
62,0.0062,1.74816,0
63,0.0063,3.14065,0
64,0.0064,4.38676,0
65,0.0065,5.61339,0
66,0.0066,6.76836,0
67,0.0067,7.61269,0
68,0.0068,7.83127,0
69,0.0069,7.2024,0
70,0.007,5.7333,0
71,0.0071,3.68639,0
72,0.0072,1.4793,0
73,0.0073,-0.49068,0
74,0.0074,-2.0061,0
75,0.0075,-3.09017,0
76,0.0076,-3.93956,0
77,0.0077,-4.76876,0
78,0.0078,-5.65309,0
79,0.0079,-6.45755,0
80,0.008,-6.89138,0
81,0.0081,-6.65945,0
82,0.0082,-5.62853,0
83,0.0083,-3.91743,0
84,0.0084,-1.86123,0
85,0.0085,0.13294,0
86,0.0086,1.76237,0
87,0.0087,2.94429,0
88,0.0088,3.81047,0
89,0.0089,4.58667,0
90,0.009,5.42499,0
91,0.0091,6.28274,0
92,0.0092,6.91604,0
93,0.0093,6.99349,0
94,0.0094,6.27013,0
95,0.0095,4.72802,0
96,0.0096,2.60766,0
97,0.0097,0.312274,0
98,0.0098,-1.76465,0
99,0.0099,-3.39754,0
100,0.01,-4.59017,0
101,0.0101,-5.511,0
102,0.0102,-6.34161,0
103,0.0103,-7.12489,0
104,0.0104,-7.69954,0
105,0.0105,-7.75991,0
106,0.0106,-7.01178,0
107,0.0107,-5.34113,0
108,0.0108,-2.90485,0
