FFT of Input Signal
Index,Real,Imag,Mag,Phase
0,66.5234,0,66.5234,0
1,66.5305,0.594243,66.5331,0.00893165
2,66.5516,1.18885,66.5622,0.0178617
3,66.5869,1.7842,66.6108,0.0267886
4,66.6364,2.38065,66.6789,0.0357108
5,66.7001,2.97857,66.7666,0.0446266
6,66.7782,3.57835,66.874,0.0535345
7,66.8707,4.18036,67.0012,0.0624329
8,66.9778,4.78499,67.1485,0.0713202
9,67.0997,5.39261,67.316,0.0801948
10,67.2365,6.00364,67.504,0.0890553
11,67.3884,6.61847,67.7126,0.0978999
12,67.5556,7.23752,67.9422,0.106727
13,67.7385,7.8612,68.1931,0.115535
14,67.9372,8.48995,68.4656,0.124323
15,68.152,9.12421,68.7601,0.133089
16,68.3834,9.76444,69.077,0.141831
17,68.6316,10.4111,69.4168,0.150548
18,68.8971,11.0647,69.7799,0.159238
19,69.1802,11.7257,70.1669,0.167899
20,69.4814,12.3946,70.5783,0.176531
21,69.8012,13.0721,71.0147,0.185131
22,70.1402,13.7585,71.4769,0.193698
23,70.4988,14.4546,71.9654,0.202231
24,70.8778,15.1609,72.4811,0.210727
25,71.2777,15.8781,73.0248,0.219185
26,71.6992,16.6068,73.5973,0.227604
27,72.1432,17.3477,74.1996,0.235982
28,72.6104,18.1016,74.8327,0.244318
29,73.1017,18.8692,75.4977,0.252608
30,73.618,19.6513,76.1957,0.260853
31,74.1604,20.4487,76.928,0.269051
32,74.7299,21.2625,77.6959,0.277199
33,75.3277,22.0934,78.5009,0.285296
34,75.9551,22.9425,79.3444,0.29334
35,76.6133,23.8109,80.2282,0.301329
36,77.3039,24.6997,81.1539,0.309262
37,78.0283,25.6101,82.1236,0.317137
38,78.7883,26.5433,83.1393,0.324951
39,79.5858,27.5007,84.2032,0.332703
40,80.4226,28.4838,85.3178,0.340391
41,81.3009,29.4941,86.4855,0.348012
42,82.2231,30.5333,87.7093,0.355564
43,83.1916,31.6031,88.9921,0.363045
44,84.2091,32.7054,90.3373,0.370452
45,85.2787,33.8424,91.7484,0.377784
46,86.4035,35.0162,93.2293,0.385036
47,87.5872,36.2293,94.7844,0.392207
48,88.8335,37.4842,96.4182,0.399293
49,90.1468,38.7837,98.1357,0.406291
50,91.5317,40.1309,99.9427,0.413197
51,92.9932,41.5292,101.845,0.420008
52,94.5372,42.9821,103.85,0.426721
53,96.1698,44.4936,105.964,0.433329
54,97.898,46.0681,108.196,0.43983
55,99.7295,47.7105,110.554,0.446218
56,101.673,49.4259,113.05,0.452487
57,103.738,51.2202,115.694,0.458632
58,105.935,53.0999,118.499,0.464645
59,108.277,55.0721,121.478,0.470521
60,110.778,57.145,124.648,0.47625
61,113.452,59.3275,128.028,0.481824
62,116.318,61.6297,131.636,0.487233
63,119.396,64.063,135.497,0.492466
64,122.709,66.6404,139.637,0.497512
65,126.285,69.3766,144.087,0.502356
66,130.155,72.2884,148.882,0.506982
67,134.355,75.3954,154.064,0.511374
68,138.93,78.72,159.682,0.515511
69,143.93,82.2884,165.793,0.51937
70,149.417,86.1316,172.465,0.522925
71,155.464,90.2859,179.779,0.526145
72,162.162,94.7951,187.837,0.528996
73,169.621,99.7117,196.758,0.531437
74,177.98,105.1,206.695,0.533418
75,187.41,111.039,217.835,0.534883
76,198.135,117.63,230.421,0.535763
77,210.442,124.997,244.765,0.535977
