Time-Domain Reconstruction of Signal
i,Time,Signal
0,0,10.7
1,0.0001,10.2912
2,0.0002,9.09621
3,0.0003,7.20627
4,0.0004,4.76587
5,0.0005,1.96155
6,0.0006,-0.992358
7,0.0007,-3.8701
8,0.0008,-6.45178
9,0.0009,-8.54017
10,0.001,-9.97577
11,0.0011,-10.649
12,0.0012,-10.5086
13,0.0013,-9.56549
14,0.0014,-7.89191
15,0.0015,-5.61596
16,0.0016,-2.91169
17,0.0017,0.0141366
18,0.0018,2.93791
19,0.0019,5.63625
20,0.002,7.9031
21,0.0021,9.56545
22,0.0022,10.4966
23,0.0023,10.6256
24,0.0024,9.94313
25,0.0025,8.50162
26,0.0026,6.41157
27,0.0027,3.83296
28,0.0028,0.963015
29,0.0029,-1.97891
30,0.003,-4.76807
31,0.0031,-7.19155
32,0.0032,-9.06448
33,0.0033,-10.2442
34,0.0034,-10.641
35,0.0035,-10.2252
36,0.0036,-9.02905
37,0.0037,-7.14446
38,0.0038,-4.71584
39,0.0039,-1.929
40,0.004,1.00298
41,0.0041,3.85617
42,0.0042,6.4128
43,0.0043,8.47795
44,0.0044,9.89437
45,0.0045,10.5545
46,0.0046,10.4087
47,0.0047,9.46868
48,0.0048,7.80701
49,0.0049,5.55117
50,0.005,2.87386
51,0.0051,-0.0201864
52,0.0052,-2.90991
53,0.0053,-5.57483
54,0.0054,-7.81182
55,0.0055,-9.45067
56,0.0056,-10.367
57,0.0057,-10.4916
58,0.0058,-9.81589
59,0.0059,-8.39232
60,0.006,-6.33029
61,0.0061,-3.78781
62,0.0062,-0.959369
63,0.0063,1.939
64,0.0064,4.68618
65,0.0065,7.07286
66,0.0066,8.91749
67,0.0067,10.0801
68,0.0068,10.4729
69,0.0069,10.067
70,0.007,8.89423
71,0.0071,7.0451
72,0.0072,4.66143
73,0.0073,1.92561
74,0.0074,-0.953375
75,0.0075,-3.75591
76,0.0076,-6.26854
77,0.0077,-8.30019
78,0.0078,-9.69676
79,0.0079,-10.3527
80,0.008,-10.2192
81,0.0081,-9.30748
82,0.0082,-7.68817
83,0.0083,-5.48566
84,0.0084,-2.86859
85,0.0085,-0.0368757
86,0.0086,2.79349
87,0.0087,5.40698
88,0.0088,7.60494
89,0.0089,9.22065
90,0.009,10.132
91,0.0091,10.2708
92,0.0092,9.62764
93,0.0093,8.25276
94,0.0094,6.25199
95,0.0095,3.77861
96,0.0096,1.02163
97,0.0097,-1.80871
98,0.0098,-4.49691
99,0.0099,-6.83869
100,0.01,-8.65648
101,0.0101,-9.81289
102,0.0102,-10.2211
103,0.0103,-9.85128
104,0.0104,-8.73296
105,0.0105,-6.95246
106,0.0106,-4.64632
107,0.0107,-1.99081
108,0.0108,0.811559
109,0.0109,3.54749
110,0.011,6.00911
111,0.0111,8.00981
112,0.0112,9.39835
113,0.0113,10.0703
114,0.0114,9.97589
115,0.0115,9.12368
116,0.0116,7.5798
117,0.0117,5.46279
118,0.0118,2.93454
119,0.0119,0.187832
120,0.012,-2.56829
121,0.0121,-5.1245
122,0.0122,-7.28704
123,0.0123,-8.89242
124,0.0124,-9.81979
125,0.0125,-10
126,0.0126,-9.42076
127,0.0127,-8.12747
128,0.0128,-6.21962
129,0.0129,-3.84316
130,0.013,-1.17933
131,0.0131,1.56919
132,0.0132,4.1937
133,0.0133,6.49531
134,0.0134,8.30001
135,0.0135,9.47185
136,0.0136,9.92313
137,0.0137,9.62098
138,0.0138,8.58975
139,0.0139,6.90901
140,0.014,4.70742
141,0.0141,2.1529
142,0.0142,-0.560238
143,0.0143,-3.22602
144,0.0144,-5.64247
145,0.0145,-7.62691
146,0.0146,-9.02977
147,0.0147,-9.74582
148,0.0148,-9.7221
149,0.0149,-8.96179
150,0.015,-7.52386
151,0.0151,-5.5185
152,0.0152,-3.09868
153,0.0153,-0.448422
154,0.0154,2.23112
155,0.0155,4.73698
156,0.0156,6.87973
157,0.0157,8.4978
158,0.0158,9.46965
159,0.0159,9.72288
160,0.016,9.23963
161,0.0161,8.05782
162,0.0162,6.26813
163,0.0163,4.00709
164,0.0164,1.44665
165,0.0165,-1.21893
166,0.0166,-3.78781
167,0.0167,-6.06579
168,0.0168,-7.88108
169,0.0169,-9.09716
170,0.017,-9.6231
171,0.0171,-9.42031
172,0.0172,-8.50536
173,0.0173,-6.94866
174,0.0174,-4.86898
175,0.0175,-2.42443
176,0.0176,0.199571
177,0.0177,2.80437
178,0.0178,5.19312
179,0.0179,7.18561
180,0.018,8.6319
181,0.0181,9.42356
182,0.0182,9.50181
183,0.0183,8.86185
184,0.0184,7.55316
185,0.0185,5.67562
186,0.0186,3.37195
187,0.0187,0.816806
188,0.0188,-1.79644
189,0.0189,-4.27031
190,0.019,-6.41819
191,0.0191,-8.07834
192,0.0192,-9.12607
193,0.0193,-9.48315
194,0.0194,-9.12357
195,0.0195,-8.07547
196,0.0196,-6.41889
197,0.0197,-4.27972
198,0.0198,-1.82007
199,0.0199,0.77399
200,0.02,3.30648
201,0.0201,5.58635
202,0.0202,7.44184
203,0.0203,8.73344
204,0.0204,9.36436
205,0.0205,9.28777
206,0.0206,8.51026
207,0.0207,7.0913
208,0.0208,5.13865
209,0.0209,2.80022
210,0.021,0.252826
211,0.0211,-2.31114
212,0.0212,-4.69824
213,0.0213,-6.7286
214,0.0214,-8.24942
215,0.0215,-9.14647
216,0.0216,-9.35268
217,0.0217,-8.85312
218,0.0218,-7.68609
219,0.0219,-5.94017
220,0.022,-3.74751
221,0.0221,-1.27384
222,0.0222,1.29411
223,0.0223,3.76262
224,0.0224,5.94562
225,0.0225,7.67872
226,0.0226,8.83155
227,0.0227,9.31756
228,0.0228,9.10054
229,0.0229,8.19728
230,0.023,6.67627
231,0.0231,4.65254
232,0.0232,2.27892
233,0.0233,-0.265457
234,0.0234,-2.7887
235,0.0235,-5.10058
236,0.0236,-7.02691
237,0.0237,-8.42262
238,0.0238,-9.18267
239,0.0239,-9.25001
240,0.024,-8.61976
241,0.0241,-7.33964
242,0.0242,-5.50632
243,0.0243,-3.25814
244,0.0244,-0.764666
245,0.0245,1.78608
246,0.0246,4.2018
247,0.0247,6.30039
248,0.0248,7.92368
249,0.0249,8.94931
250,0.025,9.3
251,0.0251,8.94931
252,0.0252,7.92368
253,0.0253,6.30039
254,0.0254,4.2018
255,0.0255,1.78608
256,0.0256,-0.764666
257,0.0257,-3.25814
258,0.0258,-5.50632
259,0.0259,-7.33964
260,0.026,-8.61976
261,0.0261,-9.25001
262,0.0262,-9.18267
263,0.0263,-8.42262
264,0.0264,-7.02691
265,0.0265,-5.10058
266,0.0266,-2.7887
267,0.0267,-0.265457
268,0.0268,2.27892
269,0.0269,4.65254
270,0.027,6.67627
271,0.0271,8.19728
272,0.0272,9.10054
273,0.0273,9.31756
274,0.0274,8.83155
275,0.0275,7.67872
276,0.0276,5.94562
277,0.0277,3.76262
278,0.0278,1.29411
279,0.0279,-1.27384
280,0.028,-3.74751
281,0.0281,-5.94017
282,0.0282,-7.68609
283,0.0283,-8.85312
284,0.0284,-9.35268
285,0.0285,-9.14647
286,0.0286,-8.24942
287,0.0287,-6.7286
288,0.0288,-4.69824
289,0.0289,-2.31114
290,0.029,0.252826
291,0.0291,2.80022
292,0.0292,5.13865
293,0.0293,7.0913
294,0.0294,8.51026
295,0.0295,9.28777
296,0.0296,9.36436
297,0.0297,8.73344
298,0.0298,7.44184
299,0.0299,5.58635
300,0.03,3.30648
301,0.0301,0.77399
302,0.0302,-1.82007
303,0.0303,-4.27972
304,0.0304,-6.41889
305,0.0305,-8.07547
306,0.0306,-9.12357
307,0.0307,-9.48315
308,0.0308,-9.12607
309,0.0309,-8.07834
310,0.031,-6.41819
311,0.0311,-4.27031
312,0.0312,-1.79644
313,0.0313,0.816806
314,0.0314,3.37195
315,0.0315,5.67562
316,0.0316,7.55316
317,0.0317,8.86185
318,0.0318,9.50181
319,0.0319,9.42356
320,0.032,8.6319
321,0.0321,7.18561
322,0.0322,5.19312
323,0.0323,2.80437
324,0.0324,0.199571
325,0.0325,-2.42443
326,0.0326,-4.86898
327,0.0327,-6.94866
328,0.0328,-8.50536
329,0.0329,-9.42031
330,0.033,-9.6231
331,0.0331,-9.09716
332,0.0332,-7.88108
333,0.0333,-6.06579
334,0.0334,-3.78781
335,0.0335,-1.21893
336,0.0336,1.44665
337,0.0337,4.00709
338,0.0338,6.26813
339,0.0339,8.05782
340,0.034,9.23963
341,0.0341,9.72288
342,0.0342,9.46965
343,0.0343,8.4978
344,0.0344,6.87973
345,0.0345,4.73698
346,0.0346,2.23112
347,0.0347,-0.448422
348,0.0348,-3.09868
349,0.0349,-5.5185
350,0.035,-7.52386
351,0.0351,-8.96179
352,0.0352,-9.7221
353,0.0353,-9.74582
354,0.0354,-9.02977
355,0.0355,-7.62691
356,0.0356,-5.64247
357,0.0357,-3.22602
358,0.0358,-0.560238
359,0.0359,2.1529
360,0.036,4.70742
361,0.0361,6.90901
362,0.0362,8.58975
363,0.0363,9.62098
364,0.0364,9.92313
365,0.0365,9.47185
366,0.0366,8.30001
367,0.0367,6.49531
368,0.0368,4.1937
369,0.0369,1.56919
370,0.037,-1.17933
371,0.0371,-3.84316
372,0.0372,-6.21962
373,0.0373,-8.12747
374,0.0374,-9.42076
375,0.0375,-10
376,0.0376,-9.81979
377,0.0377,-8.89242
378,0.0378,-7.28704
379,0.0379,-5.1245
380,0.038,-2.56829
381,0.0381,0.187832
382,0.0382,2.93454
383,0.0383,5.46279
384,0.0384,7.5798
385,0.0385,9.12368
386,0.0386,9.97589
387,0.0387,10.0703
388,0.0388,9.39835
389,0.0389,8.00981
390,0.039,6.00911
391,0.0391,3.54749
392,0.0392,0.811559
393,0.0393,-1.99081
394,0.0394,-4.64632
395,0.0395,-6.95246
396,0.0396,-8.73296
397,0.0397,-9.85128
398,0.0398,-10.2211
399,0.0399,-9.81289
400,0.04,-8.65648
401,0.0401,-6.83869
402,0.0402,-4.49691
403,0.0403,-1.80871
404,0.0404,1.02163
405,0.0405,3.77861
406,0.0406,6.25199
407,0.0407,8.25276
408,0.0408,9.62764
409,0.0409,10.2708
410,0.041,10.132
411,0.0411,9.22065
412,0.0412,7.60494
413,0.0413,5.40698
414,0.0414,2.79349
415,0.0415,-0.0368757
416,0.0416,-2.86859
417,0.0417,-5.48566
418,0.0418,-7.68817
419,0.0419,-9.30748
420,0.042,-10.2192
421,0.0421,-10.3527
422,0.0422,-9.69676
423,0.0423,-8.30019
424,0.0424,-6.26854
425,0.0425,-3.75591
426,0.0426,-0.953375
427,0.0427,1.92561
428,0.0428,4.66143
429,0.0429,7.0451
430,0.043,8.89423
431,0.0431,10.067
432,0.0432,10.4729
433,0.0433,10.0801
434,0.0434,8.91749
435,0.0435,7.07286
436,0.0436,4.68618
437,0.0437,1.939
438,0.0438,-0.959369
439,0.0439,-3.78781
440,0.044,-6.33029
441,0.0441,-8.39232
442,0.0442,-9.81589
443,0.0443,-10.4916
444,0.0444,-10.367
445,0.0445,-9.45067
446,0.0446,-7.81182
447,0.0447,-5.57483
448,0.0448,-2.90991
449,0.0449,-0.0201864
450,0.045,2.87386
451,0.0451,5.55117
452,0.0452,7.80701
453,0.0453,9.46868
454,0.0454,10.4087
455,0.0455,10.5545
456,0.0456,9.89437
457,0.0457,8.47795
458,0.0458,6.4128
459,0.0459,3.85617
460,0.046,1.00298
461,0.0461,-1.929
462,0.0462,-4.71584
463,0.0463,-7.14446
464,0.0464,-9.02905
465,0.0465,-10.2252
466,0.0466,-10.641
467,0.0467,-10.2442
468,0.0468,-9.06448
469,0.0469,-7.19155
470,0.047,-4.76807
471,0.0471,-1.97891
472,0.0472,0.963015
473,0.0473,3.83296
474,0.0474,6.41157
475,0.0475,8.50162
476,0.0476,9.94313
477,0.0477,10.6256
478,0.0478,10.4966
479,0.0479,9.56545
480,0.048,7.9031
481,0.0481,5.63625
482,0.0482,2.93791
483,0.0483,0.0141366
484,0.0484,-2.91169
485,0.0485,-5.61596
486,0.0486,-7.89191
487,0.0487,-9.56549
488,0.0488,-10.5086
489,0.0489,-10.649
490,0.049,-9.97577
491,0.0491,-8.54017
492,0.0492,-6.45178
493,0.0493,-3.8701
494,0.0494,-0.992358
495,0.0495,1.96155
496,0.0496,4.76587
497,0.0497,7.20627
498,0.0498,9.09621
499,0.0499,10.2912
500,0.05,10.7
501,0.0501,10.2912
502,0.0502,9.09621
503,0.0503,7.20627
504,0.0504,4.76587
505,0.0505,1.96155
506,0.0506,-0.992358
507,0.0507,-3.8701
508,0.0508,-6.45178
509,0.0509,-8.54017
510,0.051,-9.97577
511,0.0511,-10.649
512,0.0512,-10.5086
513,0.0513,-9.56549
514,0.0514,-7.89191
515,0.0515,-5.61596
516,0.0516,-2.91169
517,0.0517,0.0141366
518,0.0518,2.93791
519,0.0519,5.63625
520,0.052,7.9031
521,0.0521,9.56545
522,0.0522,10.4966
523,0.0523,10.6256
524,0.0524,9.94313
525,0.0525,8.50162
526,0.0526,6.41157
527,0.0527,3.83296
528,0.0528,0.963015
529,0.0529,-1.97891
530,0.053,-4.76807
531,0.0531,-7.19155
532,0.0532,-9.06448
533,0.0533,-10.2442
534,0.0534,-10.641
535,0.0535,-10.2252
536,0.0536,-9.02905
537,0.0537,-7.14446
538,0.0538,-4.71584
539,0.0539,-1.929
540,0.054,1.00298
541,0.0541,3.85617
542,0.0542,6.4128
543,0.0543,8.47795
544,0.0544,9.89437
545,0.0545,10.5545
546,0.0546,10.4087
547,0.0547,9.46868
548,0.0548,7.80701
549,0.0549,5.55117
550,0.055,2.87386
551,0.0551,-0.0201864
552,0.0552,-2.90991
553,0.0553,-5.57483
554,0.0554,-7.81182
555,0.0555,-9.45067
556,0.0556,-10.367
557,0.0557,-10.4916
558,0.0558,-9.81589
559,0.0559,-8.39232
560,0.056,-6.33029
561,0.0561,-3.78781
562,0.0562,-0.959369
563,0.0563,1.939
564,0.0564,4.68618
565,0.0565,7.07286
566,0.0566,8.91749
567,0.0567,10.0801
568,0.0568,10.4729
569,0.0569,10.067
570,0.057,8.89423
571,0.0571,7.0451
572,0.0572,4.66143
573,0.0573,1.92561
574,0.0574,-0.953375
575,0.0575,-3.75591
576,0.0576,-6.26854
577,0.0577,-8.30019
578,0.0578,-9.69676
579,0.0579,-10.3527
580,0.058,-10.2192
581,0.0581,-9.30748
582,0.0582,-7.68817
583,0.0583,-5.48566
584,0.0584,-2.86859
585,0.0585,-0.0368757
586,0.0586,2.79349
587,0.0587,5.40698
588,0.0588,7.60494
589,0.0589,9.22065
590,0.059,10.132
591,0.0591,10.2708
592,0.0592,9.62764
593,0.0593,8.25276
594,0.0594,6.25199
595,0.0595,3.77861
596,0.0596,1.02163
597,0.0597,-1.80871
598,0.0598,-4.49691
599,0.0599,-6.83869
600,0.06,-8.65648
601,0.0601,-9.81289
602,0.0602,-10.2211
603,0.0603,-9.85128
604,0.0604,-8.73296
605,0.0605,-6.95246
606,0.0606,-4.64632
607,0.0607,-1.99081
608,0.0608,0.811559
609,0.0609,3.54749
610,0.061,6.00911
611,0.0611,8.00981
612,0.0612,9.39835
613,0.0613,10.0703
614,0.0614,9.97589
615,0.0615,9.12368
616,0.0616,7.5798
617,0.0617,5.46279
618,0.0618,2.93454
619,0.0619,0.187832
620,0.062,-2.56829
621,0.0621,-5.1245
622,0.0622,-7.28704
623,0.0623,-8.89242
624,0.0624,-9.81979
625,0.0625,-10
626,0.0626,-9.42076
627,0.0627,-8.12747
628,0.0628,-6.21962
629,0.0629,-3.84316
630,0.063,-1.17933
631,0.0631,1.56919
632,0.0632,4.1937
633,0.0633,6.49531
634,0.0634,8.30001
635,0.0635,9.47185
636,0.0636,9.92313
637,0.0637,9.62098
638,0.0638,8.58975
639,0.0639,6.90901
640,0.064,4.70742
641,0.0641,2.1529
642,0.0642,-0.560238
643,0.0643,-3.22602
644,0.0644,-5.64247
645,0.0645,-7.62691
646,0.0646,-9.02977
647,0.0647,-9.74582
648,0.0648,-9.7221
649,0.0649,-8.96179
650,0.065,-7.52386
651,0.0651,-5.5185
652,0.0652,-3.09868
653,0.0653,-0.448422
654,0.0654,2.23112
655,0.0655,4.73698
656,0.0656,6.87973
657,0.0657,8.4978
658,0.0658,9.46965
659,0.0659,9.72288
660,0.066,9.23963
661,0.0661,8.05782
662,0.0662,6.26813
663,0.0663,4.00709
664,0.0664,1.44665
665,0.0665,-1.21893
666,0.0666,-3.78781
667,0.0667,-6.06579
668,0.0668,-7.88108
669,0.0669,-9.09716
670,0.067,-9.6231
671,0.0671,-9.42031
672,0.0672,-8.50536
673,0.0673,-6.94866
674,0.0674,-4.86898
675,0.0675,-2.42443
676,0.0676,0.199571
677,0.0677,2.80437
678,0.0678,5.19312
679,0.0679,7.18561
680,0.068,8.6319
681,0.0681,9.42356
682,0.0682,9.50181
683,0.0683,8.86185
684,0.0684,7.55316
685,0.0685,5.67562
686,0.0686,3.37195
687,0.0687,0.816806
688,0.0688,-1.79644
689,0.0689,-4.27031
690,0.069,-6.41819
691,0.0691,-8.07834
692,0.0692,-9.12607
693,0.0693,-9.48315
694,0.0694,-9.12357
695,0.0695,-8.07547
696,0.0696,-6.41889
697,0.0697,-4.27972
698,0.0698,-1.82007
699,0.0699,0.77399
700,0.07,3.30648
701,0.0701,5.58635
702,0.0702,7.44184
703,0.0703,8.73344
704,0.0704,9.36436
705,0.0705,9.28777
706,0.0706,8.51026
707,0.0707,7.0913
708,0.0708,5.13865
709,0.0709,2.80022
710,0.071,0.252826
711,0.0711,-2.31114
712,0.0712,-4.69824
713,0.0713,-6.7286
714,0.0714,-8.24942
715,0.0715,-9.14647
716,0.0716,-9.35268
717,0.0717,-8.85312
718,0.0718,-7.68609
719,0.0719,-5.94017
720,0.072,-3.74751
721,0.0721,-1.27384
722,0.0722,1.29411
723,0.0723,3.76262
724,0.0724,5.94562
725,0.0725,7.67872
726,0.0726,8.83155
727,0.0727,9.31756
728,0.0728,9.10054
729,0.0729,8.19728
730,0.073,6.67627
731,0.0731,4.65254
732,0.0732,2.27892
733,0.0733,-0.265457
734,0.0734,-2.7887
735,0.0735,-5.10058
736,0.0736,-7.02691
737,0.0737,-8.42262
738,0.0738,-9.18267
739,0.0739,-9.25001
740,0.074,-8.61976
741,0.0741,-7.33964
742,0.0742,-5.50632
743,0.0743,-3.25814
744,0.0744,-0.764666
745,0.0745,1.78608
746,0.0746,4.2018
747,0.0747,6.30039
748,0.0748,7.92368
749,0.0749,8.94931
750,0.075,9.3
751,0.0751,8.94931
752,0.0752,7.92368
753,0.0753,6.30039
754,0.0754,4.2018
755,0.0755,1.78608
756,0.0756,-0.764666
757,0.0757,-3.25814
758,0.0758,-5.50632
759,0.0759,-7.33964
760,0.076,-8.61976
761,0.0761,-9.25001
762,0.0762,-9.18267
763,0.0763,-8.42262
764,0.0764,-7.02691
765,0.0765,-5.10058
766,0.0766,-2.7887
767,0.0767,-0.265457
